api10,DocName,DocUrl,Start,Stop,Step,Step Units,Number of Curves,CurveNameArr
507108015,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584723,563.6,2133,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507108015,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2652774,1969,2129.75,0.25,FT,5,"['DEPT', 'GR', 'CCL', 'TT3', 'UNKNOWN']"
507108015,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584724,565,2137,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507108016,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2332215,-8.25,2356.25,0.25,FT,5,"['DEPT', 'GR', 'CCL', 'TT3', 'AMP3']"
507108016,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584707,706.1,2370,0.1,FT,7,"['DEPT', 'DCAL', 'DPOR', 'GR', 'NPOR', 'RHOB', 'RHOC']"
507108016,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584708,707.5,2373,0.25,FT,5,"['DEPT', 'RILD', 'RILM', 'RLL3', 'SP']"
507108016,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2261748,611,2155,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507108018,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584684,-11.5,2395.25,0.25,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
507108018,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584686,758.75,2420.75,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507108018,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584685,757.3,2418,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507108018,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2400630,836,2421,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507108019,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584682,752,2474.2,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507108019,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2319833,801,2405,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507108019,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584683,732.25,2476,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507108019,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584681,-16,2454.25,0.25,FT,5,"['DEPT', 'GR', 'CCL', 'TT3', 'AMP3']"
507108020,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2273577,-4,2638.25,0.25,FT,5,"['DEPT', 'AMP3', 'CCL', 'GR', 'TT3']"
507108020,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584674,743.8,1975.8,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
